SampleDateTime;DeviceID;BatteryVoltage;ChargingFlag;PLMN;SignalStrength;AttachTries;ConnectTries;AttachFailures;ConnectFailures;GeneralFailures;LastFailureCode;Temperature
2022-12-25 06:33:48.7291980;cg1;3770;0;1;18;32;0;0;0;0;0;-11.19
2022-12-25 06:49:08.8895640;cg1;3762;0;1;21;10;0;0;0;0;0;-11.12
2022-12-25 07:04:26.2428910;cg1;3764;0;1;24;5;0;0;0;0;0;-11.06
2022-12-25 07:19:44.8919240;cg1;3762;0;1;19;9;0;0;0;0;0;-11.0
2022-12-25 07:35:06.1784630;cg1;3758;0;1;19;12;0;0;0;0;0;-10.88
2022-12-25 07:50:24.9022040;cg1;3758;0;1;22;7;0;0;0;0;0;-10.75
2022-12-25 08:05:53.4529040;cg1;3762;0;1;18;28;0;0;0;0;0;-10.81
2022-12-25 08:21:31.4415620;cg1;3754;0;1;25;44;1;0;0;0;0;-10.88
2022-12-25 08:36:49.9426920;cg1;3764;0;1;20;8;0;0;0;0;0;-10.94
2022-12-25 08:52:06.1764530;cg1;3754;0;1;25;5;0;0;0;0;0;-10.94
2022-12-25 09:22:44.8144350;cg1;3756;0;1;25;5;0;0;0;0;0;-11.38
2022-12-25 09:53:28.5947250;cg1;3754;0;1;17;9;0;0;0;0;0;-11.94
2022-12-25 10:08:46.7603060;cg1;3754;0;1;18;9;0;0;0;0;0;-12.19
2022-12-25 10:39:28.8744680;cg1;3746;0;1;17;10;0;0;0;0;0;-12.06
2022-12-25 10:54:48.9965750;cg1;3746;0;1;20;9;0;0;0;0;0;-11.81
2022-12-25 11:10:18.9798420;cg1;3750;0;1;25;2;0;0;0;1;0;-11.56
2022-12-25 11:25:41.8579140;cg1;3728;0;8;24;15;1;0;0;0;0;-11.38
2022-12-25 11:41:01.5307280;cg1;3740;0;1;25;11;0;0;0;0;0;-11.19
2022-12-25 11:56:23.6164880;cg1;3734;0;8;23;13;0;0;0;0;0;-11.06
2022-12-25 12:11:44.9790970;cg1;3734;0;1;25;14;0;0;0;0;0;-11.0
2022-12-25 12:27:02.8195320;cg1;3730;0;1;25;5;0;0;0;0;0;-11.0
2022-12-25 12:42:19.9505300;cg1;3726;0;1;25;5;1;0;0;0;0;-11.19
2022-12-25 12:57:50.7502470;cg1;3732;0;1;21;34;0;0;0;0;0;-11.44
